,City,Country,Max Temp,Decription,Lat,Lng,Hotel Name
0,Kapaa,US,80.58,light rain,22.0752,-159.319,Pono Kai Resort
3,Mogadishu,SO,77.99,scattered clouds,2.0371,45.3438,SYL Hotel
4,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
5,Tual,ID,77.67,overcast clouds,-5.6667,132.75,Suita
8,Brownsville,US,74.08,broken clouds,25.9018,-97.4975,Cameron Hotel
9,Jamestown,US,34.02,mist,42.097,-79.2353,DoubleTree Jamestown
13,Talcahuano,CL,62.28,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
15,Kota Kinabalu,MY,84.18,few clouds,5.9749,116.0724,Hotel Cititel Express
19,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
20,Punta Arenas,CL,51.91,light intensity shower rain,-53.15,-70.9167,Hotel Lacolet
21,Paita,PE,68.7,overcast clouds,-5.0892,-81.1144,Victor's
22,Lagoa,PT,62.42,clear sky,39.05,-27.9833,Casa da Madrinha
23,New Norfolk,AU,62.92,overcast clouds,-42.7826,147.0587,Woodbridge on the Derwent
24,Rikitea,PF,76.39,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
25,Scarborough,GB,27.97,few clouds,54.2797,-0.4044,The Victoria Hotel
27,Cape Town,ZA,75.11,scattered clouds,-33.9258,18.4232,Townhouse Hotel
31,Wad Madani,SD,71.96,clear sky,14.4012,33.5199,Allneel hotel
32,Ponta Delgada,PT,66.92,moderate rain,37.7333,-25.6667,Hotel Talisman
33,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le Baril
34,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
35,Necochea,AR,58.68,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
37,Puerto Carreno,CO,76.37,few clouds,6.189,-67.4859,Carreño Plaza
38,Bengkulu,ID,80.38,overcast clouds,-3.8004,102.2655,Dena Hotel
39,Ushuaia,AR,44.26,broken clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
41,Veraval,IN,69.8,clear sky,20.9,70.3667,Shyam
44,Yenagoa,NG,76.75,few clouds,4.9247,6.2642,Peretimi Hotels Ltd.
47,Pierre,US,36.52,clear sky,44.3683,-100.351,Quality Inn
48,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Hotel Prainha
50,Juliaca,PE,48.09,light rain,-15.5,-70.1333,Hotel San Martin Inn
51,Hobart,AU,63.27,broken clouds,-42.8794,147.3294,The Old Woolstore Apartment Motel
53,Hamilton,US,42.94,overcast clouds,39.1834,-84.5333,North Vista Manor
54,Chiredzi,ZW,71.08,scattered clouds,-21.05,31.6667,Nesbitt Arms Hotel
55,Cidreira,BR,72.86,clear sky,-30.1811,-50.2056,Hotel Castelo
56,Victoria,HK,63.25,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
57,Oxapampa,PE,57.88,overcast clouds,-10.5775,-75.4017,Yanachaga
58,Rio Grande,BR,74.08,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
59,Muros,ES,54.09,overcast clouds,42.7762,-9.0603,Pensión Ría de Muros
62,Kloulklubed,PW,83.75,overcast clouds,7.0419,134.2556,The Adventures Inn
64,Tarata,BO,60.22,overcast clouds,-17.6167,-66.0167,Centro Alternativo Tara Tara
66,Hasaki,JP,52.29,clear sky,35.7333,140.8333,Choshi Plaza Hotel
70,Biltine,TD,67.55,clear sky,14.5333,20.9167,فندق ثلاث نجوم بلتن
72,Mar Del Plata,AR,64.09,scattered clouds,-38.0023,-57.5575,Nuevo Ostende
73,Clonakilty,IE,27.61,clear sky,51.6231,-8.8706,Imperial Hotel
75,Soyo,AO,75.78,overcast clouds,-6.1349,12.3689,Hotel Maria Teres
79,Buchanan,LR,77.81,few clouds,5.8808,-10.0467,Phillipmena's Guesthouse
80,Sinnamary,GF,76.71,overcast clouds,5.3833,-52.95,Hôtel du fleuve
82,Hofn,IS,32.56,clear sky,64.2539,-15.2082,Guesthouse Dyngja
85,Inongo,CD,70.18,light rain,-1.95,18.2667,Chez LELE IYOLO
86,Saint-Pierre,RE,74.91,few clouds,-21.3393,55.4781,Tropic Hotel
87,Tahoua,NE,67.23,overcast clouds,14.8888,5.2692,Hotel Bungalow
88,Andenes,NO,24.93,clear sky,69.3143,16.1194,Andrikken hotell
89,Hithadhoo,MV,80.89,overcast clouds,-0.6,73.0833,Pebbles Inn
90,Saint Anthony,US,33.42,broken clouds,45.0205,-93.218,Delta Hotels by Marriott
91,Mango,US,67.08,scattered clouds,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
92,Bom Jesus,BR,75.38,scattered clouds,-9.0744,-44.3586,Hotel Brasão
93,Hermanus,ZA,70.81,light rain,-34.4187,19.2345,Aloe guest house
96,Nishihara,JP,69.46,broken clouds,26.1842,127.7558,ユインチホテル南城
97,Lethem,GY,76.24,overcast clouds,3.3803,-59.7968,Hotel Amazonas
101,Naze,JP,63.52,scattered clouds,28.3667,129.4833,ビジネス旅館畠山
105,Kralendijk,BQ,78.78,scattered clouds,12.15,-68.2667,Hotel Bonaire Inn
106,Linfen,CN,35.42,clear sky,36.0889,111.5189,7天连锁酒店
107,Severo-Kurilsk,RU,25.32,light snow,50.6789,156.125,"""Дом рыбака"""
110,Santa Maria,BR,74.5,clear sky,-29.6842,-53.8069,Hotel Morotin
112,Roma,US,34.09,mist,43.2128,-75.4557,Wingate by Wyndham Rome
113,Alice Springs,AU,74.75,clear sky,-23.7,133.8833,Aurora Alice Springs
114,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,Terra Sur
115,Bathsheba,BB,75.06,few clouds,13.2167,-59.5167,Atlantis Hotel
118,Saint-Paul,RE,75.36,scattered clouds,-21.0096,55.2707,Hôtel d'application
119,Baker City,US,34.59,overcast clouds,44.7749,-117.8344,Geiser Grand Hotel
122,Olafsvik,IS,35.51,clear sky,64.8945,-23.7142,North Star Hotel Snæfellsnes
123,Paris,FR,30.07,mist,48.8534,2.3488,Hôtel Esmerelda
124,Castro,BR,65.61,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
125,Atuona,PF,78.42,few clouds,-9.8,-139.0333,Pearl Resort
126,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Cape Garden
128,Thompson,CA,28.56,overcast clouds,55.7435,-97.8558,Thompson Inn
129,Port Elizabeth,ZA,73.09,few clouds,-33.918,25.5701,Waterford Hotel
130,Rawson,AR,58.57,overcast clouds,-43.3002,-65.1023,Hotel Deportivo
131,Chuy,UY,73.38,overcast clouds,-33.6971,-53.4616,Alerces
133,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
137,Bandiagara,ML,69.98,clear sky,14.3501,-3.6104,Hôtel Auberge Kansaye
138,San Vicente,AR,65.35,overcast clouds,-26.6167,-54.1333,Los Lapachos
140,Tuku,TW,69.3,broken clouds,23.6778,120.3926,雲林商旅
141,North Bend,US,44.51,scattered clouds,43.4065,-124.2243,The Mill Casino Hotel
142,Christchurch,NZ,70.48,few clouds,-43.5333,172.6333,Ibis Hotel Christchurch
143,Vestmannaeyjar,IS,34.45,clear sky,63.4427,-20.2734,Hotel Vestmannaeyjar
145,Souillac,MU,75.58,few clouds,-20.5167,57.5167,Hotel SkylineInn
150,Sabha,LY,61.88,clear sky,27.0377,14.4283,فندق الكاظم-سبها
154,Siteki,SZ,77.0,light rain,-26.45,31.95,Siteki hotel
155,Bredasdorp,ZA,68.38,light rain,-34.5322,20.0403,Victoria Hotel
156,Brigantine,US,44.8,overcast clouds,39.4101,-74.3646,The Sea Gull
159,Vaini,TO,78.96,light intensity drizzle,-21.2,-175.2,Keleti International Resort
161,San Fernando,PH,83.93,overcast clouds,15.0286,120.6898,Pampanga Lodge and Restaurant
162,Jumla,NP,42.06,clear sky,29.2747,82.1838,Amar Sandesh Guesthouse
163,Juazeiro Do Norte,BR,80.56,clear sky,-7.2131,-39.3153,Panorama Hotel
164,Sao Joao Da Barra,BR,74.97,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
166,Progreso,MX,78.12,light rain,21.2833,-89.6667,Centro Vacacional Obrero CTM
170,Marataizes,BR,74.44,clear sky,-21.0433,-40.8244,Saveiros Palace Hotel
171,Salalah,OM,68.9,clear sky,17.0151,54.0924,Muscat International Hotel
172,Queanbeyan,AU,62.19,broken clouds,-35.35,149.2333,Tourist Hotel
173,Westport,US,38.32,snow,41.1415,-73.3579,Norwalk Inn and Conference Center
178,Fereydun Kenar,IR,44.82,clear sky,36.6864,52.5225,هتل کیش مهر
179,Craig,US,29.82,overcast clouds,40.5153,-107.5464,Quality Inn & Suites
180,Pochutla,MX,77.83,clear sky,15.7432,-96.4661,Hotel El Patio
183,Ponta Do Sol,PT,73.0,broken clouds,32.6667,-17.1,Estalagem Ponta do Sol
184,Klaksvik,FO,32.92,light snow,62.2266,-6.589,Hotel Klaksvik
187,Santa Clara,CU,64.81,clear sky,22.4,-79.9667,Casa Marilin & Familia
189,Kangaba,ML,69.67,overcast clouds,11.9333,-8.4167,Hôtel Mande
191,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Grand Bel Air
195,Katsuura,JP,52.29,clear sky,35.1333,140.3,潮騒の宿
196,Tomball,US,66.81,overcast clouds,30.0972,-95.6161,La Quinta Inn & Suites by Wyndham Tomball
199,Lakes Entrance,AU,57.16,light rain,-37.8811,147.981,Banjo Patterson Motor Inn
200,Elizabeth City,US,52.02,broken clouds,36.2946,-76.2511,Quality Inn
201,Quatre Cocos,MU,76.08,clear sky,-20.2078,57.7625,Horisun
204,Basco,PH,77.74,overcast clouds,20.4487,121.9702,Tawsen Hotel
206,Casper,US,37.38,overcast clouds,42.8666,-106.3131,Days Inn by Wyndham Casper
209,Khorramshahr,IR,53.56,clear sky,30.4397,48.1664,بيت صباح التميمي
210,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hotel Iberia
212,Nyaunglebin,MM,75.94,few clouds,17.95,96.7333,စန်းဋ္ဌေး
213,Yulara,AU,82.18,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
215,Camiri,BO,71.55,overcast clouds,-20.05,-63.5167,Sol Chaqueño
217,Oistins,BB,74.52,few clouds,13.0667,-59.5333,The Abidah By Accra
218,Kavieng,PG,84.61,overcast clouds,-2.5744,150.7967,Kavieng Hotel
220,Te Anau,NZ,69.84,broken clouds,-45.4167,167.7167,Lakeside Motels & Apartments
225,Byron Bay,AU,87.94,overcast clouds,-28.65,153.6167,Lord Byron Resort
227,Quevedo,EC,80.4,overcast clouds,-1.0333,-79.45,"Hotel Chifa ""JADE"""
230,Gorontalo,ID,87.85,overcast clouds,0.5412,123.0595,Grand City Hotel
231,Lompoc,US,49.89,clear sky,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
235,Saint George,US,48.79,overcast clouds,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
236,Salta,AR,81.19,clear sky,-24.7859,-65.4117,Ayres de Salta Hotel
238,Eureka,US,44.92,scattered clouds,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
241,Seoul,KR,36.97,clear sky,37.5683,126.9778,뉴국제호텔
242,Touros,BR,78.53,clear sky,-5.1989,-35.4608,Pousada Atlântico
243,Piacabucu,BR,77.02,broken clouds,-10.4056,-36.4344,O Leão
244,Fortuna,US,44.65,scattered clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
245,Kodiak,US,38.21,light rain,57.79,-152.4072,Shelikof Lodge
248,Lujiang,CN,40.8,overcast clouds,31.2581,117.2817,锦怡晓厨
250,Puerres,CO,47.5,light rain,1.1937,-77.2666,hollywood
252,Half Moon Bay,US,48.78,overcast clouds,37.4636,-122.4286,Half Moon Bay Inn
255,Faanui,PF,74.08,moderate rain,-16.4833,-151.75,Oa Oa Lodge
259,Calama,CL,59.49,broken clouds,-22.4667,-68.9333,Apart Hotel Geotel Calama
265,Orchard Homes,US,33.94,mist,46.8633,-114.0484,Broadway Inn
266,Lhokseumawe,ID,74.07,overcast clouds,5.1801,97.1507,Vina Vira Hotel
270,Cayenne,GF,73.44,clear sky,4.9333,-52.3333,Central Hôtel
274,Banjar,ID,86.4,scattered clouds,-8.19,114.9675,Villa Banjar Beach
275,Inirida,CO,72.41,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
276,Sulina,RO,49.37,overcast clouds,45.1559,29.6536,Casa Coral
277,Manavgat,TR,60.06,moderate rain,36.7867,31.4431,Hotel Sazak
278,Kendari,ID,85.93,overcast clouds,-3.945,122.4989,Hotel Agung
280,Sohag,EG,55.69,overcast clouds,26.557,31.6948,Al Safa Hotel
282,Saldanha,ZA,71.65,scattered clouds,-33.0117,17.9442,Hoedjesbaai
283,Port Pirie,AU,65.55,few clouds,-33.1833,138.0167,Ellen Hotel
284,Nakusp,CA,34.47,overcast clouds,50.2499,-117.8023,Leland Hotel
289,Port Macquarie,AU,77.9,light rain,-31.4333,152.9167,The Observatory
297,Orange,US,55.53,broken clouds,33.7,-117.7675,La Quinta Inn & Suites
298,Kostrzyn,PL,30.97,overcast clouds,52.3985,17.2281,Pałac Iwno
302,Chatham,GB,33.8,light snow,51.3789,0.5279,The Charles Hotel
303,Sitka,US,29.14,overcast clouds,57.0531,-135.33,Aspen Suites Hotel
306,Los Aquijes,PE,69.93,overcast clouds,-14.0967,-75.6908,El Embrujo
307,Presidente Franco,PY,77.52,scattered clouds,-25.5333,-54.6167,Tia Nancy
308,Reconquista,AR,83.05,clear sky,-29.15,-59.65,Hotel San Martin
317,Sarahan,IN,40.19,scattered clouds,31.5167,77.8,OYO 329
320,Nouakchott,MR,77.29,clear sky,18.0858,-15.9785,فندق أدرار
321,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Fidji Motel
323,Pokhara,NP,59.2,clear sky,28.2333,83.9833,Hotel Annapurna View Sarangkot
324,Bodo,NO,22.95,clear sky,67.28,14.405,Zefyr hotell
325,Kankan,GN,71.1,overcast clouds,10.3854,-9.3057,Buffet de la gare
327,Laguna,US,50.05,light rain,38.421,-121.4238,Holiday Inn Express & Suites
329,Dalbandin,PK,49.59,overcast clouds,28.8947,64.4101,SF Al-dawood Restaurant
337,Sur,OM,73.63,clear sky,22.5667,59.5289,Sur Hotel
339,Shwebo,MM,68.13,clear sky,22.5667,95.7,Pyi Shwe Theingha
341,Ziparion,GR,63.52,scattered clouds,36.875,27.2042,Villa Xenos
343,Hambantota,LK,68.34,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
347,Tocopilla,CL,69.33,overcast clouds,-22.092,-70.1979,hotel Isidora
348,Jalu,LY,59.65,clear sky,29.0331,21.5482,فندق جالو السياحي
350,Ko Samui,TH,80.51,scattered clouds,9.5357,99.9357,Nathon Residence
351,La Romana,DO,73.76,scattered clouds,18.4273,-68.9728,Hotel Frano
352,Marsh Harbour,BS,75.36,clear sky,26.5412,-77.0636,Lofty Fig Villas
353,Portland,US,44.89,overcast clouds,45.5234,-122.6762,the Hoxton
354,Alghero,IT,46.49,broken clouds,40.5589,8.3181,Catalunya
357,Saint-Georges,GD,74.88,few clouds,12.0564,-61.7485,Deyna's City Inn
362,Bukama,CD,68.0,light rain,-9.2,25.85,Mission catholique
363,Campbell River,CA,38.73,broken clouds,50.0163,-125.2446,Comfort Inn & Suites
364,Maku,IR,30.81,overcast clouds,39.2911,44.4521,آسیان هتل ماکو
365,Mardin,TR,44.11,overcast clouds,37.3131,40.7436,Erdoba Evleri Babil Konağı
366,Grajau,BR,73.0,few clouds,-5.8194,-46.1386,Torre Palace Hotel
368,Tanggu,CN,35.56,clear sky,39.0211,117.6469,汉庭酒店
371,Ancud,CL,52.32,light rain,-41.8697,-73.8203,Cabañas
372,Atar,MR,75.16,clear sky,20.5169,-13.0499,فندق سكليل
373,Beni,CD,60.51,light rain,0.5,29.4667,Logement Alco-Family
376,Los Llanos De Aridane,ES,67.12,clear sky,28.6585,-17.9182,Valle Aridane
377,Vangaindrano,MG,71.76,few clouds,-23.35,47.6,Fanilo
378,Sambava,MG,73.76,light rain,-14.2667,50.1667,Royal Sava Hôtel
